CLIENT,ALIGNMENT,TERRITORY,Old Territory,OUTLET,,,,,,,,,,,,,
299,M,00000000,00000000,B4R 000,,,,,,,,,,,,,
299,M,00000000,00000000,B4V 000,,,,,,,,,,,,,
299,M,00000000,00000000,B5A 000,,,,,,,,,,,,,
299,M,00000000,00000000,B8Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,B9A 000,,,,,,,,,,,,,
299,M,00000000,00000000,C0A 000,,,,,,,,,,,,,
299,M,00000000,00000000,C0B 000,,,,,,,,,,,,,
299,M,00000000,00000000,C1A 000,,,,,,,,,,,,,
299,M,00000000,00000000,C1B 000,,,,,,,,,,,,,
299,M,00000000,00000000,C1C 000,,,,,,,,,,,,,
299,M,00000000,00000000,C1E 000,,,,,,,,,,,,,
299,M,00000000,00000000,C1M 000,,,,,,,,,,,,,
299,M,00000000,00000000,C1N 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0C 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0G 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0H 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0J 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0K 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0L 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0M 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0S 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0W 000,,,,,,,,,,,,,
299,M,00000000,00000000,E0Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1C 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1G 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1H 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1N 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1V 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1W 000,,,,,,,,,,,,,
299,M,00000000,00000000,E1X 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2G 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2H 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2J 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2K 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2L 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2M 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2N 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2P 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2R 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2S 000,,,,,,,,,,,,,
299,M,00000000,00000000,E2V 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3C 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3L 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3N 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3V 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,E3Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4C 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4H 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4J 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4K 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4L 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4M 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4N 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4P 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4R 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4S 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4T 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4V 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4W 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4X 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,E4Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5C 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5G 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5H 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5J 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5K 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5L 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5M 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5N 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5T 000,,,,,,,,,,,,,
299,M,00000000,00000000,E5Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,E6A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E6B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E6G 000,,,,,,,,,,,,,
299,M,00000000,00000000,E6J 000,,,,,,,,,,,,,
299,M,00000000,00000000,E6K 000,,,,,,,,,,,,,
299,M,00000000,00000000,E6L 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7C 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7G 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7H 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7J 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7K 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7L 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7M 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7P 000,,,,,,,,,,,,,
299,M,00000000,00000000,E7X 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8C 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8G 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8J 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8K 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8L 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8N 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8P 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8R 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8S 000,,,,,,,,,,,,,
299,M,00000000,00000000,E8T 000,,,,,,,,,,,,,
299,M,00000000,00000000,E9A 000,,,,,,,,,,,,,
299,M,00000000,00000000,E9B 000,,,,,,,,,,,,,
299,M,00000000,00000000,E9C 000,,,,,,,,,,,,,
299,M,00000000,00000000,E9E 000,,,,,,,,,,,,,
299,M,00000000,00000000,E9G 000,,,,,,,,,,,,,
299,M,00000000,00000000,E9H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0C 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0E 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0G 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0J 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0K 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0L 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0M 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0N 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0P 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0R 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0S 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0T 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0V 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0W 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0X 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,G0Z 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1C 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1E 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1G 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1J 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1K 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1L 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1M 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1N 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1P 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1R 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1S 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1T 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1V 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1W 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1X 000,,,,,,,,,,,,,
299,M,00000000,00000000,G1Y 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2A 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2B 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2C 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2E 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2G 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2H 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2J 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2K 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2L 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2M 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2N 000,,,,,,,,,,,,,
299,M,00000000,00000000,G2S 000,,,,,,,,,,,,,
299,M,00000000,00000000,G3A 000,,,,,,,,,,,,,
